Curriculum,Computer Science
Institution,Kennesaw State University
Degree Type,"BS"
System Type,semester
CIP,"11.07"
Total Structural Complexity,230
Longest Delay,6,CSE1321->CSE1322->CS3503->CS4504->CS4524
Highest Centrality Course,"CS3305",89
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,Technical Writing,"TCOM","2010","ENGL1102","","",3,"Kennesaw State University","",3,0,3,0
2,Calculus II,"MATH","2202","MATH1190","","",4,"Kennesaw State University","",2,0,2,0
3,Calculus I,"MATH","1190","","","",4,"Kennesaw State University","",19,13,6,0
4,Discrete Mathematics,"MATH","2345","MATH1190","","",3,"Kennesaw State University","",15,9,6,32
5,Probability and Data Analysis,"MATH","2332","MATH1190","","",3,"Kennesaw State University","",2,0,2,0
6,Linear Algebra I,"MATH","3260","MATH1190","","",3,"Kennesaw State University","",2,0,2,0
7,Composition II,"ENGL","1102","ENGL1101","","",3,"Kennesaw State University","",4,1,3,3
8,Composistion I,"ENGL","1101","","","",3,"Kennesaw State University","",5,2,3,0
9,Programming and Problem Solving I,"CSE","1321","","","",3,"Kennesaw State University","",23,17,6,0
10,Programming and Problem Solving I Lab,"CSE","1321L","","","",1,"Kennesaw State University","",1,0,1,0
11,Programming and Problem Solving II,"CSE","1322","CSE1321","","",3,"Kennesaw State University","",22,16,6,75
12,Programming and Problem Solving II Lab,"CSE","1322L","","","",1,"Kennesaw State University","",21,16,5,0
13,Data Structures,"CS","3305","MATH2345;CSE1322;CSE1322L","","",3,"Kennesaw State University","",14,8,6,89
14,Computer Organization and Architecture,"CS","3503","CSE1322;CSE1322L","","",3,"Kennesaw State University","",12,6,6,43
15,Operating Systems,"CS","3502","CS3305;CS3503","","",3,"Kennesaw State University","",9,3,6,51
16,Introductrion to Software Engineering,"SWE","3313","CSE1322;CSE1322L","","",3,"Kennesaw State University","",6,2,4,14
17,Introduction to Databse Systems,"CS","3410","CSE1322;CSE1322L","","",3,"Kennesaw State University","",5,1,4,7
18,Algorithm Analysis,"CS","4306","CS3305","","",3,"Kennesaw State University","",4,0,4,0
19,Fundamentals of Data Communication,"CS","3622","CSE1322;CSE1322L","","",3,"Kennesaw State University","",5,1,4,7
20,Parallel and Distrubted Computing,"CS","4504","CS3305;CS3503","CS3502","",3,"Kennesaw State University","",7,1,6,51
21,Concepts of Programming Languages,"CS","4308","CS3305;CS3503","","",3,"Kennesaw State University","",4,0,4,0
22,Professional Practices and Ethics,"CSE","3801","CSE1322;CSE1322L","","",2,"Kennesaw State University","",3,0,3,0
23,Computer Science Senior Project,"CS","4850","CS3502;SWE3313","","",3,"Kennesaw State University","",5,0,5,0
24,Instiutional Options B-1,"XX","XX","","","",2,"Kennesaw State University","",1,0,1,0
25,Instiutional Options B-2,"XX","XX","","","",3,"Kennesaw State University","",1,0,1,0
26,Big Data Analytics (CS Elective),"CS","4265","CS3305;CS3410","","",3,"Kennesaw State University","",4,0,4,0
27,Cloud Computing (CS Elective),"CS","4524","CS4504","","",3,"Kennesaw State University","",6,0,6,0
28,Computer Networks (CS Elective),"CS","4622","CS3503;CS3622","","",3,"Kennesaw State University","",4,0,4,0
29,Artifical Intelligence (CS Elective),"CS","3642","CS3305","","",3,"Kennesaw State University","",4,0,4,0
30,Software Architecture and Design (CS Elective),"SWE","3633","SWE3313","","",3,"Kennesaw State University","",4,0,4,0
31,Science and Tech D-2,"XX","XX","","","",3,"Kennesaw State University","",1,0,1,0
32,Science and Tech D-2 Lab,"XX","XX","","","",1,"Kennesaw State University","",1,0,1,0
33,Science and Tech D-2,"XX","XX","","","",3,"Kennesaw State University","",1,0,1,0
34,Science and Tech D-2 Lab,"XX","XX","","","",1,"Kennesaw State University","",1,0,1,0
35,Social Science E-1,"XX","XX","","","",3,"Kennesaw State University","",1,0,1,0
36,Social Science E-2,"XX","XX","","","",3,"Kennesaw State University","",1,0,1,0
37,Social Science E-3,"XX","XX","","","",3,"Kennesaw State University","",1,0,1,0
38,Social Science E-4,"XX","XX","","","",3,"Kennesaw State University","",1,0,1,0
39,Free Elective,"XX","XX","","","",3,"Kennesaw State University","",1,0,1,0
40,Free Elective,"XX","XX","","","",3,"Kennesaw State University","",1,0,1,0
41,Free Elective,"XX","XX","","","",3,"Kennesaw State University","",1,0,1,0
42,Free Elective,"XX","XX","","","",3,"Kennesaw State University","",1,0,1,0
43,Free Elective,"XX","XX","","","",2,"Kennesaw State University","",1,0,1,0
