Curriculum,Michigan_Ann_Arbor_CS,,,,,,,,,
Institution,"University of Michigan-Ann Arbor",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"quarter",,,,,,,,,
CIP,"11.07",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Introduction to Engineering","Engineering ","100",,,,4,"","",4.7,3,4.0,0
2,"Introduction to Computers","Engineering ","101",,"10",,4,"","",8.7,8,5.0,29
3,"General Chemistry Laboratory I","Chemistry","125",,,"4",1,"","",2.7,1,3.0,3
4,"General Chemistry Labatory II","Chemistry","126",,,,1,"","",3.3,2,3.0,0
5,"General Chemistry","Chemistry","130",,,"3",3,"","",2.0,0,3.0,0
6,"General Physics I","Physics","140","10",,"7",4,"","",2.7,1,3.0,6
7,"Elementary Laboratory I","Physics","141",,,,1,"","",3.3,2,3.0,0
8,"General Physics II","Physics","240","6;11",,"9",4,"","",2.0,0,3.0,0
9,"Elementary Laboratory II","Physics","241",,,,1,"","",2.0,1,2.0,0
10,"Calculus I","Math","115",,,,4,"","",13.3,15,5.0,0
11,"Calculus II","Math","116","10",,,4,"","",5.3,4,4.0,10
12,"Applied Linear Algebra","Math","214","11",,,4,"","",3.3,1,4.0,4
13,"Multivariable & Vector Calculus","Math","215","11",,,4,"","",2.0,0,3.0,0
14,"Discrete Mathematics","EECS","203","10",,,4,"","",7.3,7,4.0,23
15,"Programming and Elementary Data Structures","EECS","280","2",,,4,"","",8.0,7,5.0,29
16,"Data Structures and Algorithms","EECS","281","15;14",,,4,"","",6.0,4,5.0,36
17,"Introduction to Computer Organization","EECS","370","15;14",,,4,"","",4.0,1,5.0,9
18,"Foundation of Computer Science","EECS","376","15;14",,,4,"","",2.7,0,4.0,0
19,"Major Design Experince Professionalism","EECS","496",,,,2,"","",0.7,0,1.0,0
20,"Introduction to Statistics and Data Analysis","STATS","250",,,,3,"","",0.7,0,1.0,0
21,"Technical Communication for Electrical and Computer Science","TCHNCLCM","300","1",,,1,"","",4.0,2,4.0,4
22,"Introduction to Operating Systems (CS Elective)","EECS","482","16;17",,,4,"","",3.3,0,5.0,0
23,"Database Management Systems (CS Elective)","EECS","484","16",,,4,"","",3.3,0,5.0,0
24,"Web Datavase and Information Systems (CS Elective)","EECS","485","16",,,4,"","",3.3,0,5.0,0
25,"Intorudction to Machine Learning (CS Elective)","EECS","445","16;12",,,4,"","",3.3,0,5.0,0
26,"(Technical Elective)","XX","XX",,,,4,"","",0.7,0,1.0,0
27,"(Technical Elective)","XX","XX",,,,3,"","",0.7,0,1.0,0
28,"(Technical Elective)","XX","XX",,,,3,"","",0.7,0,1.0,0
29,"Approved CS MDE course","EECS","XX",,,"30",4,"","",2.7,0,4.0,0
30,"Advanced Technical Communication for Computer Science","TCHNCLCM","497","21",,,2,"","",3.3,1,4.0,4
31,"(Intellectual Breadth)","XX","XX",,,,4,"","",0.7,0,1.0,0
32,"(Intellectual Breadth)","XX","XX",,,,4,"","",0.7,0,1.0,0
33,"(Intellectual Breadth)","XX","XX",,,,4,"","",0.7,0,1.0,0
34,"(Intellectual Breadth)","XX","XX",,,,4,"","",0.7,0,1.0,0
35,"(General Elective)","XX","XX",,,,3,"","",0.7,0,1.0,0
36,"(General Elective)","XX","XX",,,,4,"","",0.7,0,1.0,0
37,"(General Elective)","XX","XX",,,,4,"","",0.7,0,1.0,0
38,"(General Elective)","XX","XX",,,,4,"","",0.7,0,1.0,0
