Curriculum,U_of_Colorado_Blouder_CS,,,,,,,,,
Institution,"University of Colorado Boulder",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"11.07",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Computer Science as a Field of Work and Study","CSCI","1000",,,,1,"","",1.0,0,1.0,0
2,"Computer Science 1: Starting Computing","CSCI","1300","19",,,4,"","",21.0,16,5.0,82
3,"Computer Science 2: Data Structure","CSCI","2270","2;19",,,4,"","",19.0,14,5.0,98
4,"Computer Systems","CSCI","2400","3",,,4,"","",7.0,2,5.0,18
5,"Algorithms ","CSCI","3104","20;21;3",,,4,"","",7.0,2,5.0,44
6,"Principles of Programming Languages","CSCI","3155","4;21;3",,,4,"","",5.0,0,5.0,0
7,"Software Development Methods and Tools","CSCI","3308","3",,,3,"","",6.0,1,5.0,9
8,"Fundamentals of Human Computer Interaction (Computer Science Core Elective)","CSCI","3002","3",,,4,"","",4.0,0,4.0,0
9,"Introduction to Artifical Intelligence (Computer Science Core Elective)","CSCI","3202","21;3;23",,,3,"","",5.0,0,5.0,0
10,"Design and Analysis of Database Systems (Computer Science Core Elective)","CSCI","3287","3",,,3,"","",4.0,0,4.0,0
11,"Introduction to Robotics (Computer Science Core Elective)","CSCI","3302","22;21;3",,,3,"","",5.0,0,5.0,0
12,"Introduction to Cybersecuirty for a Converged World (Computer Science Core Elective)","CSCI","3403","4",,,4,"","",5.0,0,5.0,0
13,"Theory of Computation (CS Elective)","CSCI","3434","5",,,3,"","",5.0,0,5.0,0
14,"Practical Algorithm Complexity (CS Elective)","CSCI","4114","5",,,3,"","",5.0,0,5.0,0
15,"Object Orinted Analysis and Design","CSCI","4448","7",,,3,"","",5.0,0,5.0,0
16,"Critical Thinking","PHIL","1440",,,,3,"","",1.0,0,1.0,0
17,"Software Engineering Project 1","CSCI","4308",,,,4,"","",3.0,1,2.0,0
18,"Software Engineering Project 2","CSCI","4318","17",,,4,"","",2.0,0,2.0,0
19,"Calculus 1 for Engineers","APPM","1350",,,,4,"","",25.0,20,5.0,0
20,"Calculus 2 for Engineers","APPM","1360","19",,,4,"","",12.0,8,4.0,19
21,"Discrete Structures","CSCI","2824","2;19",,,3,"","",12.0,7,5.0,48
22,"Linear Algebra with Computer Science Applications","CSCI","2820","20;3",,,3,"","",6.0,1,5.0,13
23,"Introduction to Data Science with Probability and Statistics","CSCI","3022","20;21;3",,,3,"","",6.0,1,5.0,22
24,"Ethics","PHIL","1100",,,,3,"","",1.0,0,1.0,0
25,"Writing","ENES","1010",,,,3,"","",1.0,0,1.0,0
26,"Humanities/Social Sciences","XX","XX",,,,3,"","",1.0,0,1.0,0
27,"Humanities/Social Sciences","XX","XX",,,,3,"","",1.0,0,1.0,0
28,"Humanities/Social Sciences","XX","XX",,,,3,"","",1.0,0,1.0,0
29,"Humanities/Social Sciences","XX","XX",,,,3,"","",1.0,0,1.0,0
30,"Humanities/Social Sciences","XX","XX",,,,3,"","",1.0,0,1.0,0
31,"General Physics 1","PHYS","1110","19",,,4,"","",4.0,1,3.0,3
32,"General Physics 2 (Science Elective)","PHYS","1120","20;31",,"33",4,"","",3.0,0,3.0,0
33,"Experimental Physics 1 (Science Elective)","PHYS","1140",,,,1,"","",3.0,1,2.0,0
34,"Natural Science Elective","XX","XX",,,,4,"","",1.0,0,1.0,0
35,"Natural Science Elective","XX","XX",,,,4,"","",1.0,0,1.0,0
36,"Free Elective","XX","XX",,,,4,"","",1.0,0,1.0,0
37,"Free Elective","XX","XX",,,,4,"","",1.0,0,1.0,0
38,"Free Elective","XX","XX",,,,4,"","",1.0,0,1.0,0
