degree_id,degree_name,degree_type,institution,cip_code,system_type,plans_analyzed,complexity_min,complexity_max,complexity_median,complexity_mean,complexity_std_dev,complexity_q1,complexity_q3,delay_min,delay_max,delay_median,delay_mean,delay_std_dev,delay_q1,delay_q3,shortest_terms,shortest_complexity,longest_terms,longest_complexity,timestamp
"csu-cs-bscs-general","Bachelor of Science in Computer Science - Computer Science Concentration","BS","Colorado State University","","semester",1000,161.0,436.0,217.0,233.0,46.5,202.0,261.0,5.0,10.0,6.0,6.5,1.1,6.0,7.0,8,161,10,436,"2026-05-06T20:43:38.506361503+00:00"
"neu-khoury-bscs-boston","Bachelor of Science in Computer Science (Boston)","BS","Northeastern University","","semester",1000,110.0,187.0,145.0,145.6,12.0,137.0,154.0,4.0,6.0,5.0,5.1,0.5,5.0,5.0,8,110,8,187,"2026-05-06T20:47:09.154971985+00:00"
"uhm-ics-bscs-general","Bachelor of Science in Computer Science - General Track","BS","University of Hawaiʻi at Mānoa","","semester",1000,209.0,287.0,249.0,249.4,13.0,241.0,258.0,5.0,6.0,5.0,5.5,0.5,5.0,6.0,8,209,8,287,"2026-05-06T20:47:34.492972629+00:00"
"uhm-ics-bscs-general","Bachelor of Science in Computer Science - General Track","BS","University of Hawaiʻi at Mānoa","","semester",997,213.0,288.0,250.0,249.7,13.0,241.0,258.0,5.0,6.0,5.0,5.5,0.5,5.0,6.0,8,213,8,288,"2026-05-06T21:00:33.834756605+00:00"
"csu-cs-bscs-general","Bachelor of Science in Computer Science - Computer Science Concentration","BS","Colorado State University","","semester",1000,165.0,431.0,215.0,232.0,45.7,202.0,261.0,5.0,10.0,6.0,6.5,1.1,6.0,7.0,8,165,10,431,"2026-05-06T21:36:50.728529063+00:00"
"neu-khoury-bscs-boston","Bachelor of Science in Computer Science (Boston)","BS","Northeastern University","","semester",998,116.0,190.0,145.0,145.3,11.6,137.0,153.0,4.0,6.0,5.0,5.1,0.4,5.0,5.0,8,116,8,190,"2026-05-06T21:36:55.491441919+00:00"
"uhm-ics-bscs-general","Bachelor of Science in Computer Science - General Track","BS","University of Hawaiʻi at Mānoa","","semester",999,214.0,289.0,251.0,249.8,12.9,241.0,259.0,5.0,6.0,5.0,5.5,0.5,5.0,6.0,8,214,8,289,"2026-05-06T21:37:06.252740043+00:00"
"csu-cs-bscs-general","Bachelor of Science in Computer Science - Computer Science Concentration","BS","Colorado State University","","semester",1000,163.0,420.0,214.0,230.6,43.1,201.0,260.0,5.0,10.0,6.0,6.4,1.1,6.0,7.0,8,163,10,420,"2026-05-11T14:36:15.765654895+00:00"
"csu-cs-bscs-general","Bachelor of Science in Computer Science - Computer Science Concentration","BS","Colorado State University","","semester",1000,160.0,424.0,216.0,232.5,44.3,201.0,263.0,5.0,10.0,6.0,6.4,1.1,6.0,7.0,8,160,10,424,"2026-05-11T15:54:53.843963143+00:00"
"neu-khoury-bscs-boston","Bachelor of Science in Computer Science (Boston)","BS","Northeastern University","","semester",999,110.0,194.0,145.0,145.6,11.8,138.0,153.0,4.0,6.0,5.0,5.1,0.4,5.0,5.0,8,110,8,194,"2026-05-11T15:54:58.501890056+00:00"
