Curriculum,Bachelor of Science in Computer Science - Computer Science Concentration - Random Sample
Institution,Colorado State University
Degree Type,"BS"
System Type,semester
CIP,""
Total Structural Complexity,233.0
Longest Delay,6
Longest Delay Chain,"CS150B → CS164 → CS165 → CS253 → CS356 → CS456"
Terms Required,8
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Gen Ed Citizenship","AC","01","","","",3,"Colorado State University","",1.0,0,1,0
2,"Advanced Writing","AW","01","","","",3,"Colorado State University","",1.0,0,1,0
3,"Principles of Plant Biology","BZ","120","","","",4,"Colorado State University","BZ120",1.0,0,1,0
4,"Culture and Coding: Python","CS","150B","","","",3,"Colorado State University","CS150B",23.0,17,6,0
5,"CS1--Computational Thinking with Java","CS","164","4","","",4,"Colorado State University","CS164",22.0,16,6,64
6,"CS2--Data Structures","CS","165","5","","",4,"Colorado State University","CS165",19.0,13,6,45
7,"Ethical Computing Systems","CS","201","","","",3,"Colorado State University","CS201",1.0,0,1,0
8,"Discrete Structures and the Applications","CS","220","5;30","","",4,"Colorado State University","CS220",9.0,4,5,20
9,"Computer Systems Foundations","CS","250","5","","",4,"Colorado State University","CS250",8.0,3,5,9
10,"Software Development with C++","CS","253","6","","",4,"Colorado State University","CS253",11.0,5,6,17
11,"Modern Web Applications","CS","312","6","","",3,"Colorado State University","CS312",4.0,0,4,0
12,"Software Engineering","CS","314","10","","",3,"Colorado State University","CS314",7.0,1,6,6
13,"Algorithms--Theory and Practice","CS","320","8;6;30;23","","",3,"Colorado State University","CS320",6.0,1,5,24
14,"Machine Learning Foundations and Practice","CS","345","8;4;30;36","","",3,"Colorado State University","CS345",6.0,1,5,23
15,"Systems Security","CS","356","10","","",3,"Colorado State University","CS356",7.0,1,6,6
16,"Operating Systems","CS","370","6;9","","",3,"Colorado State University","CS370",6.0,1,5,10
17,"Object-Oriented Design","CS","414","12","","",4,"Colorado State University","CS414",6.0,0,6,0
18,"Introduction to Machine Learning","CS","445","6;14;23","","",4,"Colorado State University","CS445",5.0,0,5,0
19,"Modern CyberSecurity","CS","456","15","","",4,"Colorado State University","CS456",6.0,0,6,0
20,"Computer Networks and the Internet","CS","457","10;16;36","","",4,"Colorado State University","CS457",5.0,0,5,0
21,"Parallel Programming","CS","475","9;13;22","","",4,"Colorado State University","CS475",5.0,0,5,0
22,"C++ Fundamentals","CT","301","6","","",1,"Colorado State University","CT301",6.0,1,5,5
23,"Linear Algebra for Data Science","DSCI","369","30","","",4,"Colorado State University","DSCI369",8.0,3,5,9
24,"Free Elective","FE","01","","","",3,"Colorado State University","",1.0,0,1,0
25,"Free Elective","FE","02","","","",3,"Colorado State University","",1.0,0,1,0
26,"Free Elective","FE","03S","","","",2,"Colorado State University","",1.0,0,1,0
27,"Dynamic Earth","GEOL","150","","","",4,"Colorado State University","GEOL150",1.0,0,1,0
28,"Historical Perspectives","HP","01","","","",3,"Colorado State University","",1.0,0,1,0
29,"Precalculus","MATH","127","","","",4,"Colorado State University","MATH127",14.0,9,5,0
30,"Mathematics for Computational Science I","MATH","156","29","","",4,"Colorado State University","MATH156",11.0,6,5,27
31,"General Psychology","PSY","100","","","",3,"Colorado State University","PSY100",6.0,3,3,0
32,"Mind, Brain, and Behavior","PSY","252","31","","",3,"Colorado State University","PSY252",5.0,2,3,6
33,"Cognitive Psychology","PSY","452","32","","",3,"Colorado State University","PSY452",3.0,0,3,0
34,"Cognitive Neuroscience","PSY","458","32","","",3,"Colorado State University","PSY458",3.0,0,3,0
35,"Social/Behavioral Science","SB","01","","","",3,"Colorado State University","",1.0,0,1,0
36,"Introduction to Applied Statistical Methods","STAT","301","29","","",3,"Colorado State University","STAT301",7.0,3,4,7
