Curriculum,Bachelor of Science in Computer Science - Computer Science Concentration - Random Sample
Institution,Colorado State University
Degree Type,"BS"
System Type,semester
CIP,""
Total Structural Complexity,193.0
Longest Delay,5
Longest Delay Chain,"MATH127 → MATH156 → DSCI369 → CS320 → CS440"
Terms Required,8
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Gen Ed Citizenship","AC","01","","","",3,"Colorado State University","",1.0,0,1,0
2,"Advanced Writing","AW","01","","","",3,"Colorado State University","",1.0,0,1,0
3,"Principles of Plant Biology","BZ","120","","","",4,"Colorado State University","BZ120",1.0,0,1,0
4,"CS1---No Prior Programming Experience","CS","163","32","","",4,"Colorado State University","CS163",20.0,15,5,84
5,"CS2--Data Structures","CS","165","4","","",4,"Colorado State University","CS165",17.0,12,5,54
6,"Ethical Computing Systems","CS","201","","","",3,"Colorado State University","CS201",1.0,0,1,0
7,"Discrete Structures and the Applications","CS","220","4;33","","",4,"Colorado State University","CS220",10.0,5,5,50
8,"Software Development with C++","CS","253","5","","",4,"Colorado State University","CS253",9.0,4,5,20
9,"Computer Organization","CS","270","4","","",4,"Colorado State University","CS270",7.0,2,5,5
10,"Design Thinking Toolbox: Mixed Reality Design","CS","310H","8","","",3,"Colorado State University","CS310H",5.0,0,5,0
11,"Modern Web Applications","CS","312","5","","",3,"Colorado State University","CS312",4.0,0,4,0
12,"Software Engineering","CS","314","8","","",3,"Colorado State University","CS314",5.0,0,5,0
13,"Algorithms--Theory and Practice","CS","320","7;5;33;21","","",3,"Colorado State University","CS320",8.0,3,5,72
14,"Machine Learning Foundations and Practice","CS","345","7;5;33;36","","",3,"Colorado State University","CS345",7.0,2,5,46
15,"Operating Systems","CS","370","5;9","","",3,"Colorado State University","CS370",6.0,1,5,10
16,"Introduction to Analysis of Algorithms","CS","420","13","","",4,"Colorado State University","CS420",5.0,0,5,0
17,"Introduction to Bioinformatics Algorithms","CS","425","13;14","","",4,"Colorado State University","CS425",5.0,0,5,0
18,"Introduction to Artificial Intelligence","CS","440","13;14","","",4,"Colorado State University","CS440",5.0,0,5,0
19,"Computer Networks and the Internet","CS","457","8;15;36","","",4,"Colorado State University","CS457",5.0,0,5,0
20,"Principles of Human-Computer Interaction","CS","464","8","","",4,"Colorado State University","CS464",5.0,0,5,0
21,"Linear Algebra for Data Science","DSCI","369","33","","",4,"Colorado State University","DSCI369",9.0,4,5,15
22,"Free Elective","ELEC","001","","","",3,"Colorado State University","",1.0,0,1,0
23,"Free Elective","ELEC","002","","","",3,"Colorado State University","",1.0,0,1,0
24,"Free Elective","ELEC","003","","","",3,"Colorado State University","",1.0,0,1,0
25,"Free Elective","ELEC","004","","","",3,"Colorado State University","",1.0,0,1,0
26,"Free Elective","ELEC","005S","","","",2,"Colorado State University","",0.0,0,0,0
27,"Free Elective","FE","01","","","",3,"Colorado State University","",1.0,0,1,0
28,"Free Elective","FE","02","","","",3,"Colorado State University","",1.0,0,1,0
29,"Free Elective","FE","03S","","","",2,"Colorado State University","",1.0,0,1,0
30,"Dynamic Earth","GEOL","150","","","",4,"Colorado State University","GEOL150",1.0,0,1,0
31,"Historical Perspectives","HP","01","","","",3,"Colorado State University","",1.0,0,1,0
32,"Precalculus","MATH","127","","","",4,"Colorado State University","MATH127",24.0,19,5,0
33,"Mathematics for Computational Science I","MATH","156","32","","",4,"Colorado State University","MATH156",12.0,7,5,60
34,"N Elective","N","101","","","",3,"Colorado State University","",1.0,0,1,0
35,"Social/Behavioral Science","SB","01","","","",3,"Colorado State University","",1.0,0,1,0
36,"Introduction to Applied Statistical Methods","STAT","301","32","","",3,"Colorado State University","STAT301",8.0,4,4,11
