Curriculum,Bachelor of Science in Computer Science (Boston) - Longest Path
Institution,Northeastern University
Degree Type,"BS"
System Type,semester
CIP,""
Total Structural Complexity,186.0
Longest Delay,5
Longest Delay Chain,"CS2000 → CS2100 → DS3000 → DS4400 → CY4100"
Terms Required,8
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Issues in Race, Science, and Technology","AFCS","2600","","","",4,"Northeastern University","AFCS2600",1.0,0,1,0
2,"Communication and Storytelling","COMM","1511","","","",4,"Northeastern University","COMM1511",1.0,0,1,0
3,"First Year Seminar","CS","1200","","","",1,"Northeastern University","CS1200",1.0,0,1,0
4,"Professional Development for Khoury Co-op","CS","1210","9","","",1,"Northeastern University","CS1210",3.0,0,3,0
5,"Discrete Structures","CS","1800","","6","",4,"Northeastern University","CS1800",8.0,4,4,0
6,"Seminar for CS 1800","CS","1802","","5","",1,"Northeastern University","CS1802",1.0,0,1,0
7,"Introduction to Program Design and Implementation","CS","2000","","8","",4,"Northeastern University","CS2000",25.0,20,5,0
8,"Lab for CS 2000","CS","2001","","7","",1,"Northeastern University","CS2001",1.0,0,1,0
9,"Program Design and Implementation 1","CS","2100","7","10","",4,"Northeastern University","CS2100",24.0,19,5,59
10,"Lab for CS 2100","CS","2101","","9","",1,"Northeastern University","CS2101",1.0,0,1,0
11,"Algorithms and Data","CS","3000","9;5","","",4,"Northeastern University","CS3000",8.0,3,5,16
12,"Program Design and Implementation 2","CS","3100","9","13","",4,"Northeastern University","CS3100",15.0,10,5,31
13,"Lab for CS 3100","CS","3101","","12","",1,"Northeastern University","CS3101",1.0,0,1,0
14,"Programming in C++","CS","3520","9","","",4,"Northeastern University","CS3520",5.0,1,4,4
15,"Game Programming","CS","3540","9","","",4,"Northeastern University","CS3540",5.0,1,4,4
16,"Computer Systems","CS","3650","12","","",4,"Northeastern University","CS3650",6.0,1,5,5
17,"Theory of Computation","CS","3800","9","","",4,"Northeastern University","CS3800",3.0,0,3,0
18,"Mixed Reality","CS","4097","15","","",4,"Northeastern University","CS4097",4.0,0,4,0
19,"Artificial Intelligence","CS","4100","12","","",4,"Northeastern University","CS4100",4.0,0,4,0
20,"Game Artificial Intelligence","CS","4150","12;14","","",4,"Northeastern University","CS4150",4.0,0,4,0
21,"Programming Languages","CS","4400","12;11","","",4,"Northeastern University","CS4400",6.0,1,5,14
22,"Compilers","CS","4410","21","","",4,"Northeastern University","CS4410",5.0,0,5,0
23,"Fundamentals of Software Engineering","CS","4530","12","","",4,"Northeastern University","CS4530",4.0,0,4,0
24,"Web Development","CS","4550","12","","",4,"Northeastern University","CS4550",4.0,0,4,0
25,"System Specification, Verification, and Synthesis","CS","4830","11","","",4,"Northeastern University","CS4830",4.0,0,4,0
26,"AI Security and Privacy","CY","4100","19","","",4,"Northeastern University","CY4100",5.0,0,5,0
27,"Network Security","CY","4740","16","","",4,"Northeastern University","CY4740",5.0,0,5,0
28,"Foundations of Data Science","DS","3000","9","","",4,"Northeastern University","DS3000",7.0,2,5,5
29,"Machine Learning and Data Mining 1","DS","4400","28;12","","",4,"Northeastern University","DS4400",6.0,1,5,10
30,"Introduction to Digital Design and Computer Architecture","EECE","2310","","31","",4,"Northeastern University","EECE2310",1.0,0,1,0
31,"Lab for EECE 2310","EECE","2311","","30","",1,"Northeastern University","EECE2311",1.0,0,1,0
32,"GE Elective","GE","01","","","",3,"Northeastern University","",1.0,0,1,0
33,"GE Elective","GE","02","","","",3,"Northeastern University","",1.0,0,1,0
34,"GE Elective","GE","03","","","",3,"Northeastern University","",1.0,0,1,0
35,"GE Elective","GE","04","","","",3,"Northeastern University","",1.0,0,1,0
36,"GE Elective","GE","05","","","",3,"Northeastern University","",1.0,0,1,0
37,"GE Elective","GE","06","","","",3,"Northeastern University","",1.0,0,1,0
38,"GE Elective","GE","07","","","",3,"Northeastern University","",1.0,0,1,0
39,"GE Elective","GE","08","","","",3,"Northeastern University","",1.0,0,1,0
40,"GE Elective","GE","09","","","",3,"Northeastern University","",1.0,0,1,0
41,"GE Elective","GE","10S","","","",2,"Northeastern University","",1.0,0,1,0
42,"Calculus 1 for Science and Engineering","MATH","1341","","","",4,"Northeastern University","MATH1341",3.0,1,2,0
43,"Calculus 2 for Science and Engineering","MATH","1342","42","","",4,"Northeastern University","MATH1342",2.0,0,2,0
44,"Introduction to Mathematical Reasoning","MATH","1365","","","",4,"Northeastern University","MATH1365",1.0,0,1,0
45,"Statistics and Software","MATH","2280","","","",4,"Northeastern University","MATH2280",1.0,0,1,0
