Curriculum,Bachelor of Science in Computer Science (Boston) - Random Sample
Institution,Northeastern University
Degree Type,"BS"
System Type,semester
CIP,""
Total Structural Complexity,153.0
Longest Delay,6
Longest Delay Chain,"CS2000 → CS2100 → CS3100 → CS3650 → CY3740 → CY4760"
Terms Required,8
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Issues in Race, Science, and Technology","AFCS","2600","","","",4,"Northeastern University","AFCS2600",1.0,0,1,0
2,"Business and Professional Speaking","COMM","1113","","","",4,"Northeastern University","COMM1113",1.0,0,1,0
3,"First Year Seminar","CS","1200","","","",1,"Northeastern University","CS1200",1.0,0,1,0
4,"Professional Development for Khoury Co-op","CS","1210","9","","",1,"Northeastern University","CS1210",3.0,0,3,0
5,"Discrete Structures","CS","1800","","6","",4,"Northeastern University","CS1800",7.0,3,4,0
6,"Seminar for CS 1800","CS","1802","","5","",1,"Northeastern University","CS1802",1.0,0,1,0
7,"Introduction to Program Design and Implementation","CS","2000","","8","",4,"Northeastern University","CS2000",21.0,15,6,0
8,"Lab for CS 2000","CS","2001","","7","",1,"Northeastern University","CS2001",1.0,0,1,0
9,"Program Design and Implementation 1","CS","2100","7","10","",4,"Northeastern University","CS2100",20.0,14,6,40
10,"Lab for CS 2100","CS","2101","","9","",1,"Northeastern University","CS2101",1.0,0,1,0
11,"Algorithms and Data","CS","3000","9;5","","",4,"Northeastern University","CS3000",7.0,2,5,9
12,"Program Design and Implementation 2","CS","3100","9","13","",4,"Northeastern University","CS3100",13.0,7,6,20
13,"Lab for CS 3100","CS","3101","","12","",1,"Northeastern University","CS3101",1.0,0,1,0
14,"GUI Programming","CS","3484","9","","",4,"Northeastern University","CS3484",3.0,0,3,0
15,"Programming in C++","CS","3520","9","","",4,"Northeastern University","CS3520",3.0,0,3,0
16,"Computer Systems","CS","3650","12","","",4,"Northeastern University","CS3650",9.0,3,6,11
17,"Theory of Computation","CS","3800","9","","",4,"Northeastern University","CS3800",3.0,0,3,0
18,"Programming Languages","CS","4400","12;11","","",4,"Northeastern University","CS4400",6.0,1,5,14
19,"Compilers","CS","4410","18","","",4,"Northeastern University","CS4410",5.0,0,5,0
20,"Fundamentals of Software Engineering","CS","4530","12","","",4,"Northeastern University","CS4530",4.0,0,4,0
21,"Network Fundamentals","CS","4700","16","","",4,"Northeastern University","CS4700",5.0,0,5,0
22,"Systems Security","CY","3740","16","","",4,"Northeastern University","CY3740",7.0,1,6,6
23,"Security of Wireless and Mobile Systems","CY","4760","22","","",4,"Northeastern University","CY4760",6.0,0,6,0
24,"Foundations of Data Science","DS","3000","9","","",4,"Northeastern University","DS3000",3.0,0,3,0
25,"Introduction to Digital Design and Computer Architecture","EECE","2310","","26","",4,"Northeastern University","EECE2310",1.0,0,1,0
26,"Lab for EECE 2310","EECE","2311","","25","",1,"Northeastern University","EECE2311",1.0,0,1,0
27,"Free Elective","ELEC","001","","","",3,"Northeastern University","",1.0,0,1,0
28,"Free Elective","ELEC","002","","","",3,"Northeastern University","",1.0,0,1,0
29,"GE Elective","GE","01","","","",3,"Northeastern University","",1.0,0,1,0
30,"GE Elective","GE","02","","","",3,"Northeastern University","",1.0,0,1,0
31,"GE Elective","GE","03","","","",3,"Northeastern University","",1.0,0,1,0
32,"GE Elective","GE","04","","","",3,"Northeastern University","",1.0,0,1,0
33,"GE Elective","GE","05","","","",3,"Northeastern University","",1.0,0,1,0
34,"GE Elective","GE","06","","","",3,"Northeastern University","",1.0,0,1,0
35,"GE Elective","GE","07","","","",3,"Northeastern University","",1.0,0,1,0
36,"GE Elective","GE","08","","","",3,"Northeastern University","",1.0,0,1,0
37,"GE Elective","GE","09","","","",3,"Northeastern University","",1.0,0,1,0
38,"GE Elective","GE","10S","","","",2,"Northeastern University","",1.0,0,1,0
39,"Calculus 1 for Science and Engineering","MATH","1341","","","",4,"Northeastern University","MATH1341",3.0,1,2,0
40,"Calculus 2 for Science and Engineering","MATH","1342","39","","",4,"Northeastern University","MATH1342",2.0,0,2,0
41,"Introduction to Mathematical Reasoning","MATH","1365","","","",4,"Northeastern University","MATH1365",1.0,0,1,0
42,"Statistics and Software","MATH","2280","","","",4,"Northeastern University","MATH2280",1.0,0,1,0
