Curriculum,Bachelor of Science in Computer Science (Boston) - Random Sample
Institution,Northeastern University
Degree Type,"BS"
System Type,semester
CIP,""
Total Structural Complexity,119.0
Longest Delay,4
Longest Delay Chain,"CS2000 → CS2100 → DS3000 → CS4300"
Terms Required,8
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Issues in Race, Science, and Technology","AFCS","2600","","","",4,"Northeastern University","AFCS2600",1.0,0,1,0
2,"First Year Seminar","CS","1200","","","",1,"Northeastern University","CS1200",1.0,0,1,0
3,"Professional Development for Khoury Co-op","CS","1210","8","","",1,"Northeastern University","CS1210",3.0,0,3,0
4,"Discrete Structures","CS","1800","","5","",4,"Northeastern University","CS1800",4.0,2,2,0
5,"Seminar for CS 1800","CS","1802","","4","",1,"Northeastern University","CS1802",1.0,0,1,0
6,"Introduction to Program Design and Implementation","CS","2000","","7","",4,"Northeastern University","CS2000",17.0,13,4,0
7,"Lab for CS 2000","CS","2001","","6","",1,"Northeastern University","CS2001",1.0,0,1,0
8,"Program Design and Implementation 1","CS","2100","6","9","",4,"Northeastern University","CS2100",16.0,12,4,35
9,"Lab for CS 2100","CS","2101","","8","",1,"Northeastern University","CS2101",1.0,0,1,0
10,"Logic and Computation","CS","2800","4;8","","",4,"Northeastern University","CS2800",3.0,0,3,0
11,"Algorithms and Data","CS","3000","8;4","","",4,"Northeastern University","CS3000",3.0,0,3,0
12,"Program Design and Implementation 2","CS","3100","8","13","",4,"Northeastern University","CS3100",7.0,3,4,12
13,"Lab for CS 3100","CS","3101","","12","",1,"Northeastern University","CS3101",1.0,0,1,0
14,"Game Programming","CS","3540","8","","",4,"Northeastern University","CS3540",3.0,0,3,0
15,"Computer Systems","CS","3650","12","","",4,"Northeastern University","CS3650",4.0,0,4,0
16,"Theory of Computation","CS","3800","8","","",4,"Northeastern University","CS3800",5.0,1,4,4
17,"Introduction to Computer Science Research","CS","3950","","","",2,"Northeastern University","CS3950",3.0,1,2,0
18,"Computer Graphics","CS","4300","12;23","","",4,"Northeastern University","CS4300",4.0,0,4,0
19,"Fundamentals of Software Engineering","CS","4530","12","","",4,"Northeastern University","CS4530",4.0,0,4,0
20,"Fundamentals of Complexity Theory","CS","4805","16","","",4,"Northeastern University","CS4805",4.0,0,4,0
21,"Computer Science Research Seminar","CS","4950","17","","",1,"Northeastern University","CS4950",2.0,0,2,0
22,"Foundations of Cybersecurity","CY","2550","8","","",4,"Northeastern University","CY2550",3.0,0,3,0
23,"Foundations of Data Science","DS","3000","8","","",4,"Northeastern University","DS3000",5.0,1,4,4
24,"Introduction to Digital Design and Computer Architecture","EECE","2310","","25","",4,"Northeastern University","EECE2310",1.0,0,1,0
25,"Lab for EECE 2310","EECE","2311","","24","",1,"Northeastern University","EECE2311",1.0,0,1,0
26,"Free Elective","ELEC","001","","","",3,"Northeastern University","",1.0,0,1,0
27,"Free Elective","ELEC","002","","","",3,"Northeastern University","",1.0,0,1,0
28,"Free Elective","ELEC","003","","","",3,"Northeastern University","",1.0,0,1,0
29,"Free Elective","ELEC","004","","","",3,"Northeastern University","",0.0,0,0,0
30,"Free Elective","ELEC","005","","","",3,"Northeastern University","",0.0,0,0,0
31,"GE Elective","GE","01","","","",3,"Northeastern University","",1.0,0,1,0
32,"GE Elective","GE","02","","","",3,"Northeastern University","",1.0,0,1,0
33,"GE Elective","GE","03","","","",3,"Northeastern University","",1.0,0,1,0
34,"GE Elective","GE","04","","","",3,"Northeastern University","",1.0,0,1,0
35,"GE Elective","GE","05","","","",3,"Northeastern University","",1.0,0,1,0
36,"GE Elective","GE","06","","","",3,"Northeastern University","",1.0,0,1,0
37,"GE Elective","GE","07","","","",3,"Northeastern University","",1.0,0,1,0
38,"GE Elective","GE","08","","","",3,"Northeastern University","",1.0,0,1,0
39,"GE Elective","GE","09","","","",3,"Northeastern University","",1.0,0,1,0
40,"GE Elective","GE","10S","","","",2,"Northeastern University","",1.0,0,1,0
41,"Calculus 1 for Science and Engineering","MATH","1341","","","",4,"Northeastern University","MATH1341",3.0,1,2,0
42,"Calculus 2 for Science and Engineering","MATH","1342","41","","",4,"Northeastern University","MATH1342",2.0,0,2,0
43,"Statistics and Software","MATH","2280","","","",4,"Northeastern University","MATH2280",1.0,0,1,0
44,"Introduction to Acting","THTR","1130","","","",4,"Northeastern University","THTR1130",1.0,0,1,0
