Curriculum,Bachelor of Science in Computer Science - General Track - Random Sample
Institution,University of Hawaiʻi at Mānoa
Degree Type,"BS"
System Type,semester
CIP,""
Total Structural Complexity,253.0
Longest Delay,6
Longest Delay Chain,"MATH215 → MATH216 → MATH372 → ICS314 → ICS432"
Terms Required,8
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Composition I","ENG","100","","","",3,"University of Hawaiʻi at Mānoa","ENG100",1.0,0,1,0
2,"Free Elective","FE","01","","","",3,"University of Hawaiʻi at Mānoa","",1.0,0,1,0
3,"Free Elective","FE","02","","","",3,"University of Hawaiʻi at Mānoa","",1.0,0,1,0
4,"GEAH Elective","GEAH","01","","","",3,"University of Hawaiʻi at Mānoa","",1.0,0,1,0
5,"GEAH Elective","GEAH","02","","","",3,"University of Hawaiʻi at Mānoa","",1.0,0,1,0
6,"GEB Elective","GEB","01","","","",3,"University of Hawaiʻi at Mānoa","",1.0,0,1,0
7,"GEG Elective","GEG","01","","","",3,"University of Hawaiʻi at Mānoa","",1.0,0,1,0
8,"GEG Elective","GEG","02","","","",3,"University of Hawaiʻi at Mānoa","",1.0,0,1,0
9,"GESS Elective","GESS","01","","","",3,"University of Hawaiʻi at Mānoa","",1.0,0,1,0
10,"GESS Elective","GESS","02","","","",3,"University of Hawaiʻi at Mānoa","",1.0,0,1,0
11,"Introduction to Computer Science I","ICS","111","","","",4,"University of Hawaiʻi at Mānoa","ICS111",22.0,17,5,0
12,"Introduction to Computer Science II","ICS","211","11","","",4,"University of Hawaiʻi at Mānoa","ICS211",21.0,16,5,125
13,"Program Structure","ICS","212","12","","",3,"University of Hawaiʻi at Mānoa","ICS212",10.0,6,4,24
14,"Algorithms","ICS","311","32;33","","",4,"University of Hawaiʻi at Mānoa","ICS311",18.0,12,6,110
15,"Machine-Level and Systems Programming","ICS","312","13;14;17","","",3,"University of Hawaiʻi at Mānoa","ICS312",5.0,0,5,0
16,"Programming Language Theory","ICS","313","13;14;17","","",3,"University of Hawaiʻi at Mānoa","ICS313",5.0,0,5,0
17,"Software Engineering I","ICS","314","12;32;33","","",3,"University of Hawaiʻi at Mānoa","ICS314",18.0,12,6,110
18,"Database Systems I","ICS","321","14;17","","",3,"University of Hawaiʻi at Mānoa","ICS321",5.0,0,5,0
19,"Logic Design and Microprocessors","ICS","331","13;14;17","","",4,"University of Hawaiʻi at Mānoa","ICS331",5.0,0,5,0
20,"Operating Systems","ICS","332","14;17","","",3,"University of Hawaiʻi at Mānoa","ICS332",7.0,1,6,22
21,"Network Design and Management","ICS","351","14;17","","",3,"University of Hawaiʻi at Mānoa","ICS351",5.0,0,5,0
22,"Security and Trust I - Resource Protections","ICS","355","32;33","","",3,"University of Hawaiʻi at Mānoa","ICS355",4.0,0,4,0
23,"Introduction to Artificial Intelligence Programming","ICS","361","13;14;17","","",3,"University of Hawaiʻi at Mānoa","ICS361",5.0,0,5,0
24,"Concurrent and High-Performance Programming","ICS","432","13;20;14;17","","",3,"University of Hawaiʻi at Mānoa","ICS432",6.0,0,6,0
25,"Data Science Fundamentals","ICS","434","12","","",3,"University of Hawaiʻi at Mānoa","ICS434",3.0,0,3,0
26,"Data Networks","ICS","451","13;14;17","","",3,"University of Hawaiʻi at Mānoa","ICS451",5.0,0,5,0
27,"Cognitive Science","ICS","469","14;17","","",3,"University of Hawaiʻi at Mānoa","ICS469",5.0,0,5,0
28,"Video Game Design and Development","ICS","485","14;17","","",3,"University of Hawaiʻi at Mānoa","ICS485",5.0,0,5,0
29,"Capstone Project","ICS","496","14;17","","",3,"University of Hawaiʻi at Mānoa","ICS496",5.0,0,5,0
30,"Applied Calculus I","MATH","215","","","",4,"University of Hawaiʻi at Mānoa","MATH215",26.0,20,6,0
31,"Applied Calculus II","MATH","216","30","","",3,"University of Hawaiʻi at Mānoa","MATH216",22.0,16,6,126
32,"Introduction to Discrete Mathematics","MATH","301","","","",3,"University of Hawaiʻi at Mānoa","MATH301",2.0,0,2,0
33,"Elementary Probability and Statistics","MATH","372","","","",3,"University of Hawaiʻi at Mānoa","MATH372",21.0,15,6,126
34,"General Physics I (Calculus)","PHYS","170","","35","",4,"University of Hawaiʻi at Mānoa","PHYS170",4.0,1,3,3
35,"General Physics I Lab","PHYS","170L","","34","",1,"University of Hawaiʻi at Mānoa","PHYS170L",1.0,0,1,0
36,"General Physics II (Calculus)","PHYS","272","34","37","",3,"University of Hawaiʻi at Mānoa","PHYS272",3.0,0,3,0
37,"General Physics II Lab","PHYS","272L","","36","",1,"University of Hawaiʻi at Mānoa","PHYS272L",1.0,0,1,0
38,"SL Elective","SL","01","","","",3,"University of Hawaiʻi at Mānoa","",1.0,0,1,0
39,"SL Elective","SL","02","","","",3,"University of Hawaiʻi at Mānoa","",1.0,0,1,0
40,"SL Elective","SL","03","","","",3,"University of Hawaiʻi at Mānoa","",1.0,0,1,0
41,"SL Elective","SL","04","","","",3,"University of Hawaiʻi at Mānoa","",1.0,0,1,0
