Curriculum,Bachelor of Science in Computer Science - General Track - Shortest Path
Institution,University of Hawaiʻi at Mānoa
Degree Type,"BS"
System Type,semester
CIP,""
Total Structural Complexity,214.0
Longest Delay,5
Longest Delay Chain,"MATH215 → ICS141 → ICS241 → ICS314 → ICS496"
Terms Required,8
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Composition I","ENG","100","","","",3,"University of Hawaiʻi at Mānoa","ENG100",1.0,0,1,0
2,"Free Elective","FE","01","","","",3,"University of Hawaiʻi at Mānoa","",1.0,0,1,0
3,"Free Elective","FE","02","","","",3,"University of Hawaiʻi at Mānoa","",1.0,0,1,0
4,"GEAH Elective","GEAH","01","","","",3,"University of Hawaiʻi at Mānoa","",1.0,0,1,0
5,"GEAH Elective","GEAH","02","","","",3,"University of Hawaiʻi at Mānoa","",1.0,0,1,0
6,"GEB Elective","GEB","01","","","",3,"University of Hawaiʻi at Mānoa","",1.0,0,1,0
7,"GEG Elective","GEG","01","","","",3,"University of Hawaiʻi at Mānoa","",1.0,0,1,0
8,"GEG Elective","GEG","02","","","",3,"University of Hawaiʻi at Mānoa","",1.0,0,1,0
9,"GESS Elective","GESS","01","","","",3,"University of Hawaiʻi at Mānoa","",1.0,0,1,0
10,"GESS Elective","GESS","02","","","",3,"University of Hawaiʻi at Mānoa","",1.0,0,1,0
11,"Introduction to Computer Science I","ICS","111","","","",4,"University of Hawaiʻi at Mānoa","ICS111",18.0,14,4,0
12,"Discrete Mathematics for Computer Science I","ICS","141","32","","",3,"University of Hawaiʻi at Mānoa","ICS141",19.0,14,5,104
13,"Introduction to Computer Science II","ICS","211","11","","",4,"University of Hawaiʻi at Mānoa","ICS211",17.0,13,4,100
14,"Program Structure","ICS","212","13","","",3,"University of Hawaiʻi at Mānoa","ICS212",9.0,5,4,20
15,"Discrete Mathematics for Computer Science II","ICS","241","12","","",3,"University of Hawaiʻi at Mānoa","ICS241",18.0,13,5,104
16,"Algorithms","ICS","311","13;15","","",4,"University of Hawaiʻi at Mānoa","ICS311",15.0,10,5,90
17,"Machine-Level and Systems Programming","ICS","312","14;16;19","","",3,"University of Hawaiʻi at Mānoa","ICS312",5.0,0,5,0
18,"Programming Language Theory","ICS","313","14;16;19","","",3,"University of Hawaiʻi at Mānoa","ICS313",5.0,0,5,0
19,"Software Engineering I","ICS","314","13;15","","",3,"University of Hawaiʻi at Mānoa","ICS314",15.0,10,5,90
20,"Database Systems I","ICS","321","16;19","","",3,"University of Hawaiʻi at Mānoa","ICS321",5.0,0,5,0
21,"Logic Design and Microprocessors","ICS","331","14;16;19","","",4,"University of Hawaiʻi at Mānoa","ICS331",5.0,0,5,0
22,"Operating Systems","ICS","332","16;19","","",3,"University of Hawaiʻi at Mānoa","ICS332",5.0,0,5,0
23,"Network Design and Management","ICS","351","16;19","","",3,"University of Hawaiʻi at Mānoa","ICS351",5.0,0,5,0
24,"Security and Trust I - Resource Protections","ICS","355","15","","",3,"University of Hawaiʻi at Mānoa","ICS355",4.0,0,4,0
25,"Introduction to Artificial Intelligence Programming","ICS","361","14;16;19","","",3,"University of Hawaiʻi at Mānoa","ICS361",5.0,0,5,0
26,"Software Engineering II","ICS","414","16;19","","",3,"University of Hawaiʻi at Mānoa","ICS414",5.0,0,5,0
27,"Data Networks","ICS","451","14;16;19","","",3,"University of Hawaiʻi at Mānoa","ICS451",5.0,0,5,0
28,"Software Design for Robotics","ICS","452","","","",3,"University of Hawaiʻi at Mānoa","ICS452",1.0,0,1,0
29,"Special Topics","ICS","491","","","",3,"University of Hawaiʻi at Mānoa","ICS491",1.0,0,1,0
30,"Special Topics in Security","ICS","495","","","",3,"University of Hawaiʻi at Mānoa","ICS495",1.0,0,1,0
31,"Capstone Project","ICS","496","16;19","","",3,"University of Hawaiʻi at Mānoa","ICS496",5.0,0,5,0
32,"Applied Calculus I","MATH","215","","","",4,"University of Hawaiʻi at Mānoa","MATH215",22.0,17,5,0
33,"Linear Algebra and Differential Equations","MATH","307","","","",3,"University of Hawaiʻi at Mānoa","MATH307",1.0,0,1,0
34,"General Physics I (Calculus)","PHYS","170","","35","",4,"University of Hawaiʻi at Mānoa","PHYS170",4.0,1,3,3
35,"General Physics I Lab","PHYS","170L","","34","",1,"University of Hawaiʻi at Mānoa","PHYS170L",1.0,0,1,0
36,"General Physics II (Calculus)","PHYS","272","34","37","",3,"University of Hawaiʻi at Mānoa","PHYS272",3.0,0,3,0
37,"General Physics II Lab","PHYS","272L","","36","",1,"University of Hawaiʻi at Mānoa","PHYS272L",1.0,0,1,0
38,"SL Elective","SL","01","","","",3,"University of Hawaiʻi at Mānoa","",1.0,0,1,0
39,"SL Elective","SL","02","","","",3,"University of Hawaiʻi at Mānoa","",1.0,0,1,0
40,"SL Elective","SL","03","","","",3,"University of Hawaiʻi at Mānoa","",1.0,0,1,0
41,"SL Elective","SL","04","","","",3,"University of Hawaiʻi at Mānoa","",1.0,0,1,0
