Curriculum,Kennesaw_State_University,,,,,,,,,
Institution,"Kennesaw State University",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"11.07",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Complexity,Blocking,Delay,Centrality
1,"Technical Writing","TCOM","2010","7",,,3,"","",3.0,0,3.0,0
2,"Calculus II","MATH","2202","3",,,4,"","",2.0,0,2.0,0
3,"Calculus I","MATH","1190",,,,4,"","",19.0,13,6.0,0
4,"Discrete Mathematics","MATH","2345","3",,,3,"","",15.0,9,6.0,32
5,"Probability and Data Analysis","MATH","2332","3",,,3,"","",2.0,0,2.0,0
6,"Linear Algebra I","MATH","3260","3",,,3,"","",2.0,0,2.0,0
7,"Composition II","ENGL","1102","8",,,3,"","",4.0,1,3.0,3
8,"Composistion I","ENGL","1101",,,,3,"","",5.0,2,3.0,0
9,"Programming and Problem Solving I","CSE","1321",,,"10",3,"","",24.0,17,7.0,92
10,"Programming and Problem Solving I Lab","CSE","1321L",,,,1,"","",25.0,18,7.0,0
11,"Programming and Problem Solving II","CSE","1322","9",,"12",3,"","",23.0,16,7.0,167
12,"Programming and Problem Solving II Lab","CSE","1322L",,,,1,"","",23.0,17,6.0,0
13,"Data Structures  ","CS","3305","4;11;12",,,3,"","",15.0,8,7.0,128
14,"Computer Organization and Architecture","CS","3503","11;12",,,3,"","",13.0,6,7.0,72
15,"Operating Systems","CS","3502","13;14",,,3,"","",10.0,3,7.0,77
16,"Introductrion to Software Engineering","SWE","3313","11;12",,,3,"","",7.0,2,5.0,24
17,"Introduction to Databse Systems","CS","3410","11;12",,,3,"","",6.0,1,5.0,12
18,"Algorithm Analysis","CS","4306","13",,,3,"","",5.0,0,5.0,0
19,"Fundamentals of Data Communication","CS","3622","11;12",,,3,"","",6.0,1,5.0,12
20,"Parallel and Distrubted Computing","CS","4504","13;14","15",,3,"","",8.0,1,7.0,77
21,"Concepts of Programming Languages","CS","4308","13;14",,,3,"","",5.0,0,5.0,0
22,"Professional Practices and Ethics","CSE","3801","11;12",,,2,"","",4.0,0,4.0,0
23,"Computer Science Senior Project","CS","4850","15;16",,,3,"","",6.0,0,6.0,0
24,"Instiutional Options B-1","XX","XX",,,,2,"","",1.0,0,1.0,0
25,"Instiutional Options B-2","XX","XX",,,,3,"","",1.0,0,1.0,0
26,"Big Data Analytics (CS Elective)","CS","4265","13;17",,,3,"","",5.0,0,5.0,0
27,"Cloud Computing (CS Elective)","CS","4524","20",,,3,"","",7.0,0,7.0,0
28,"Computer Networks (CS Elective)","CS","4622","14;19",,,3,"","",5.0,0,5.0,0
29,"Artifical Intelligence (CS Elective)","CS","3642","13",,,3,"","",5.0,0,5.0,0
30,"Software Architecture and Design (CS Elective)","SWE","3633","16",,,3,"","",5.0,0,5.0,0
31,"Science and Tech D-2","XX","XX",,,"32",3,"","",2.0,0,2.0,0
32,"Science and Tech D-2 Lab","XX","XX",,,,1,"","",3.0,1,2.0,0
33,"Science and Tech D-2","XX","XX",,,"34",3,"","",2.0,0,2.0,0
34,"Science and Tech D-2 Lab","XX","XX",,,,1,"","",3.0,1,2.0,0
35,"Social Science E-1","XX","XX",,,,3,"","",1.0,0,1.0,0
36,"Social Science E-2","XX","XX",,,,3,"","",1.0,0,1.0,0
37,"Social Science E-3","XX","XX",,,,3,"","",1.0,0,1.0,0
38,"Social Science E-4","XX","XX",,,,3,"","",1.0,0,1.0,0
39,"Free Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
40,"Free Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
41,"Free Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
42,"Free Elective","XX","XX",,,,3,"","",1.0,0,1.0,0
43,"Free Elective","XX","XX",,,,2,"","",1.0,0,1.0,0
