Curriculum,Computer Science,,,,,,,,
Institution,University of Hawaii - Manoa,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,11.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Introduction to Computer Science I,ICS,111,,,,4,,
2,Discrete Math 1,ICS,141,19,,,3,,
3,Introduction to Computer Science 2,ICS,211,1,,,4,,
4,Program Structure,ICS,212,3,,,3,,
5,Discrete Math 2,ICS,241,2,,,3,,
6,Algorithms,ICS,311,3;5;19,,,4,,
7,Software Engineering,ICS,314,3;5,,,3,,
8,Database Systems,ICS,321,3;5,,,3,,
9,Operating Systems,ICS,332,6;7,,,3,,
10,Security and Trust I,ICS,355,7,,,3,,
11,Capstone Project,ICS,496,6;7,,,3,,
12,Linear Algebra,MATH,307,20,,,3,,
13,Machine-Level and System Programming,ICS,312,4;6;7,,,3,,
14,Programming Language Theory,ICS,313,4;6;7,,,3,,
15,Upper division CS elective,ICS,414,6;7,,,3,,
16,Upper division CS elective,ICS,415,6;7,,,3,,
17,Upper division CS elective,ICS,421,8,,,3,,
18,Upper division CS elective,ICS,461,6,,,3,,
19,Calculus 1,MATH,241,,,,4,,
20,Calculus 2,MATH,242,19,,,4,,
21,Physics 1,PHYS,151,,,,3,,
22,Physics 1 -lab,PHYS,151L,,21,,1,,
23,Physcis 2 ,PHYS,152,21,,,3,,
24,Physcis 2 - Lab,PHYS,152L,22,23,,1,,
25,Hawaiian SL,HSL,101,,,,3,,
26,Hawaiian SL,HSL,102,25,,,3,,
27,Hawaiian SL,HSL,201,26,,,3,,
28,Hawaiian SL,HSL,202,27,,,3,,
29,Chemistry 1,CHEM,161,,,,3,,
30,Chemistry 1 - lab,CHEM,161L,,29,,1,,
31,Chemistry 2,CHEM,162,29,,,3,,
32,Chemistry 2 - lab,CHEM,162L,,,,1,,
33,Gen Ed FG,FG,101,,,,3,,
34,Gen Ed FW,FW,101,,,,3,,
35,Gen Ed FG 2,FG,102,,,,3,,
36,Gen Ed DS,DS,101,,,,3,,
37,Gen Ed DS 2,DS,102,,,,3,,
38,Gen Ed DB,DB,101,,,,3,,
39,Gen Ed DA/DH/DL 300,DA,301,,,,3,,
40,Elective 300+,Elec,301,,,,3,,
41,Gen Ed FQ,FQ,101,,,,3,,
