Curriculum,Computer Science,,,,,,,,
Institution,Kennesaw State University,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semster,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Technical Writing,TCOM,2010,7,,,3,,
2,Calculus II,MATH,2202,3,,,4,,
3,Calculus I,MATH,1190,,,,4,,
4,Discrete Mathematics,MATH,2345,3,,,3,,
5,Probability and Data Analysis,MATH,2332,3,,,3,,
6,Linear Algebra I,MATH,3260,3,,,3,,
7,Composition II,ENGL,1102,8,,,3,,
8,Composistion I,ENGL,1101,,,,3,,
9,Programming and Problem Solving I,CSE,1321,,,10,3,,
10,Programming and Problem Solving I Lab,CSE,1321L,,,,1,,
11,Programming and Problem Solving II,CSE,1322,9,,12,3,,
12,Programming and Problem Solving II Lab,CSE,1322L,,,,1,,
13,Data Structures  ,CS,3305,4;11;12,,,3,,
14,Computer Organization and Architecture,CS,3503,11;12,,,3,,
15,Operating Systems,CS,3502,13;14,,,3,,
16,Introductrion to Software Engineering,SWE,3313,11;12,,,3,,
17,Introduction to Databse Systems,CS,3410,11;12,,,3,,
18,Algorithm Analysis,CS,4306,13,,,3,,
19,Fundamentals of Data Communication,CS,3622,11;12,,,3,,
20,Parallel and Distrubted Computing,CS,4504,13;14,15,,3,,
21,Concepts of Programming Languages,CS,4308,13;14,,,3,,
22,Professional Practices and Ethics,CSE,3801,11;12,,,2,,
23,Computer Science Senior Project,CS,4850,15;16,,,3,,
24,Instiutional Options B-1,XX,XX,,,,2,,
25,Instiutional Options B-2,XX,XX,,,,3,,
26,Big Data Analytics (CS Elective),CS,4265,13;17,,,3,,
27,Cloud Computing (CS Elective),CS,4524,20,,,3,,
28,Computer Networks (CS Elective),CS,4622,14;19,,,3,,
29,Artifical Intelligence (CS Elective),CS,3642,13,,,3,,
30,Software Architecture and Design (CS Elective),SWE,3633,16,,,3,,
31,Science and Tech D-2,XX,XX,,,32,3,,
32,Science and Tech D-2 Lab,XX,XX,,,,1,,
33,Science and Tech D-2,XX,XX,,,34,3,,
34,Science and Tech D-2 Lab,XX,XX,,,,1,,
35,Social Science E-1,XX,XX,,,,3,,
36,Social Science E-2,XX,XX,,,,3,,
37,Social Science E-3,XX,XX,,,,3,,
38,Social Science E-4,XX,XX,,,,3,,
39,Free Elective,XX,XX,,,,3,,
40,Free Elective,XX,XX,,,,3,,
41,Free Elective,XX,XX,,,,3,,
42,Free Elective,XX,XX,,,,3,,
43,Free Elective,XX,XX,,,,2,,
