Curriculum,Computer Science,,,,,,,,
Institution,Metro State University,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semster,,,,,,,,
CIP,11.07,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Computational Thinking with Programming,ICS,140,2,,,4,,
2,Precalculus,MATH,120,,,,4,,
3,Discrete Mathematics,MATH,215,2,,,4,,
4,Problem Solving with Programming,ICS,141,1,,,4,,
5,Computer Orgination and Architecture,ICS,232,4;3,,,4,,
6,Introduction to Data Structures,ICS,240,4;3,,,4,,
7,Calculus I,MATH,210,2,,,4,,
8,Database Management Systems,ICS,311,4;3,,,4,,
9,Algorithms and Data Structures,ICS,340,6;3,,,4,,
10,Organization of Programming Languages,ICS,365,6;3,,,4,,
11,Object Oriented Design and Implementation,ICS,372,6;3,,,4,,
12,Parallel and Distibuted Algorithms,ICS,440,9;3,,,4,,
13,Networks and Security,ICS,460,6;3,,,4,,
14,Operating Systems,ICS,462,6;3,,,4,,
15,Software Engineering and Capstone Project,ICS,499,11,,,4,,
16,Mobile Application Development (CS Elective),ICS,342,4,,,4,,
17,Machine Learning (CS Elective),ICS,352,6,,,4,,
18,Goal 1 - Communication Introductory,WRIT,XX,,,,3,,
19,Goal 1 - Intermediate Writing',WRIT,XX,18,,,3,,
20,Goal 1 - Oral and Visual Communication,WRIT,XX,,,,3,,
21,Goal 3 - Natural Science,XX,XX,,,22,3,,
22,Goal 3 - Natural Science Lab,XX,XX,,,,1,,
23,Goal 5 - History and Behavioral Science,XX,XX,,,,3,,
24,Goal 5 - History and Behavioral Science,XX,XX,,,,3,,
25,Goal 6 - Humanities and Fine Arts,XX,XX,,,,3,,
26,Goal 6 - Humanities and Fine Arts,XX,XX,,,,3,,
27,Goal 7 - Human Diversity,XX,XX,,,,3,,
28,Goal 8 - Global Perspective,XX,XX,,,,3,,
29,Goal 9 - Ethical and Civic Responsibility,XX,XX,,,,3,,
30,Goal 10 - People and the Environment,XX,XX,,,,3,,
31,GELS Elective,XX,XX,,,,4,,
32,Racial Issues Graduation Requirment,XX,XX,,,,3,,
33,Upper Division Liberal Studies,XX,XX,,,,4,,
34,Upper Division Liberal Studies,XX,XX,,,,4,,
